nombre|regionId|provincixId|createdAt|updatedAt
Los Lagos|13|43|2023-09-24|2023-09-24
Máfil|13|43|2023-09-24|2023-09-24
Mariquina|13|43|2023-09-24|2023-09-24
Paillaco|13|43|2023-09-24|2023-09-24
Panguipulli|13|43|2023-09-24|2023-09-24
La Unión|13|44|2023-09-24|2023-09-24
Futrono|13|44|2023-09-24|2023-09-24
Lago Ranco|13|44|2023-09-24|2023-09-24
Río Bueno|13|44|2023-09-24|2023-09-24
Quinchao|14|45|2023-09-24|2023-09-24
Castro|14|45|2023-09-24|2023-09-24
Ancud|14|45|2023-09-24|2023-09-24
Chonchi|14|45|2023-09-24|2023-09-24
Curaco de Vélez|14|45|2023-09-24|2023-09-24
Dalcahue|14|45|2023-09-24|2023-09-24
Puqueldón|14|45|2023-09-24|2023-09-24
Queilén|14|45|2023-09-24|2023-09-24
Quellón|14|45|2023-09-24|2023-09-24
Quemchi|14|45|2023-09-24|2023-09-24
Río Negro|14|46|2023-09-24|2023-09-24
Osorno|14|46|2023-09-24|2023-09-24
Puerto Octay|14|46|2023-09-24|2023-09-24
Purranque|14|46|2023-09-24|2023-09-24
Puyehue|14|46|2023-09-24|2023-09-24
San Juan de la Costa|14|46|2023-09-24|2023-09-24
San Pablo|14|46|2023-09-24|2023-09-24
Puerto Montt|14|47|2023-09-24|2023-09-24
Calbuco|14|47|2023-09-24|2023-09-24
Cochamó|14|47|2023-09-24|2023-09-24
Fresia|14|47|2023-09-24|2023-09-24
Frutillar|14|47|2023-09-24|2023-09-24
Los Muermos|14|47|2023-09-24|2023-09-24
Llanquihue|14|47|2023-09-24|2023-09-24
Maullín|14|47|2023-09-24|2023-09-24
Puerto Varas|14|47|2023-09-24|2023-09-24
Chaitén|14|48|2023-09-24|2023-09-24
Futaleufú|14|48|2023-09-24|2023-09-24
Hualaihué|14|48|2023-09-24|2023-09-24
Palena|14|48|2023-09-24|2023-09-24
Aysén|15|49|2023-09-24|2023-09-24
Cisnes|15|49|2023-09-24|2023-09-24
Guaitecas|15|49|2023-09-24|2023-09-24
Lago Verde|15|50|2023-09-24|2023-09-24
Coyhaique|15|50|2023-09-24|2023-09-24
Cochrane|15|51|2023-09-24|2023-09-24
O’Higgins|15|51|2023-09-24|2023-09-24
Tortel|15|51|2023-09-24|2023-09-24
Chile Chico|15|52|2023-09-24|2023-09-24
Río Ibáñez|15|52|2023-09-24|2023-09-24
Porvenir|16|53|2023-09-24|2023-09-24
Primavera|16|53|2023-09-24|2023-09-24
Timaukel|16|53|2023-09-24|2023-09-24
Punta Arenas|16|54|2023-09-24|2023-09-24
Laguna Blanca|16|54|2023-09-24|2023-09-24
Río Verde|16|54|2023-09-24|2023-09-24
San Gregorio|16|54|2023-09-24|2023-09-24
Natales|16|55|2023-09-24|2023-09-24
Torres del Paine|16|55|2023-09-24|2023-09-24
Cabo de Hornos|16|56|2023-09-24|2023-09-24
Antártica|16|56|2023-09-24|2023-09-24
